"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"is_touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"Price";"Index";"ppi"
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";128;0;"Intel";" Iris Plus Graphics 640";"macos";1.37;71379;1;227
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";128;0;"Intel";" HD Graphics 6000";"macos";1.34;47896;2;128
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"other";1.86;30636;3;141
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"AMD";" Radeon Pro 455";"macos";1.83;135195;4;221
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";256;0;"Intel";" Iris Plus Graphics 650";"macos";1.37;96096;5;227
"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";" Radeon R5";"windows";2.1;21312;6;100
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.2;16;"Flash Storage";256;0;"Intel";" Iris Pro Graphics";"macos";2.04;114018;7;221
"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash Storage";256;0;"Intel";" HD Graphics 6000";"macos";1.34;61736;8;128
"Asus";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";" GeForce MX150";"windows";1.3;79654;9;157
"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.6;41026;10;157
"HP";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";" HD Graphics 620";"other";1.86;20987;11;100
"HP";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";" HD Graphics 520";"other";1.86;18381;12;141
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.8;16;"SSD";256;0;"AMD";" Radeon Pro 555";"macos";1.83;130002;13;221
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";" Radeon R5 M430";"windows";2.2;26581;14;141
"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"SSD";256;0;"Intel";" HD Graphics 615";"macos";0.92;67261;15;226
"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";" Iris Plus Graphics 640";"macos";1.37;80908;16;227
"Dell";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";" Radeon R5 M430";"windows";2.2;39694;17;141
"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.9;16;"SSD";512;0;"AMD";" Radeon Pro 560";"macos";1.83;152274;18;221
"Lenovo";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";" GeForce 940MX";"other";2.2;26587;19;141
"Dell";"Ultrabook";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";128;0;"Intel";" UHD Graphics 620";"windows";1.22;52161;20;166
"Lenovo";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";2.5;53227;22;141
"HP";"Notebook";15.6;1366;768;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";" Radeon R2";"other";1.86;13746;23;100
"Dell";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";1.62;43636;24;166
"HP";"Ultrabook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";1.91;35112;25;141
